Year,unemployment rate,County,Poverty Rate
2003,3.9,Nebraska,9.8
2003,5.3,Nevada,10.9
2003,5.841666667,NewJersey,8.6
2003,5.841666667,NewMexico,18.1
2003,5.841666667,NewYork,14.3
2003,5.841666667,NorthCarolina,15.7
2003,5.841666667,NorthDakota,9.7
2003,5.841666667,Ohio,10.9
2003,5.841666667,Oklahoma,12.8
2003,5.841666667,Oregon,12.5
2003,5.841666667,Pennsylvania,10.5
2003,5.841666667,PuertoRico,
2003,5.508333333,TENNESSE,14
2003,6.733333333,TEXAS,17
2003,5.566666667,UTAH,9.1
2003,4.341666667,VIRGINIA,10
2003,7.233333333,WASHINGTON,12.6
2003,5.616666667,WISCONSIN,9.8
2004,5.575,Alabama,16.9
2004,7.416666667,Alaska,9.1
2004,4.966666667,Arizona,14.4
2004,5.583333333,Arkansas,15.1
2004,6.216666667,California,13.2
2004,5.566666667,Colorado,10
2004,5.091666667,Connecticut,10.1
2004,4.3,Delaware,9
2004,8.083333333,District of Columbia,17
2004,3.75,Florida,11.6
2004,5.116666667,Georgia,13
2004,3.291666667,Hawaii,8.6
2004,6.175,Illinois,12.3
2004,5.4,Indiana,11.6
2004,5.508333333,Kansas,11.4
2004,5.5,Kentucky,17.8
2004,5.7,Louisiana,16.8
2004,4.6,Maryland,9.9
2004,5.1,Massachusetts,9.3
2004,7,Michigan,13.3
2004,4.6,Minnesota,7
2004,5.9,Missouri,12.2
2004,3.9,Nebraska,9.5
2004,4.5,Nevada,10.9
2004,4.925,NewJersey,8
2004,4.925,NewMexico,16.5
2004,4.925,NewYork,15
2004,4.925,NorthCarolina,14.6
2004,4.925,NorthDakota,9.7
2004,4.925,Ohio,11.6
2004,4.925,Oklahoma,10.8
2004,4.925,Oregon,11.8
2004,4.925,Pennsylvania,11.4
2004,4.925,PuertoRico,
2004,5.35,TENNESSE,15.9
2004,6.016666667,TEXAS,16.5
2004,5.008333333,UTAH,10.1
2004,4.083333333,VIRGINIA,9.4
2004,6.3,WASHINGTON,11.4
2004,4.975,WISCONSIN,12.4
2005,4.458333333,Alabama,16.7
2005,6.933333333,Alaska,10
2005,4.666666667,Arizona,15.2
2005,5.258333333,Arkansas,13.8
2005,5.383333333,California,13.2
2005,5.075,Colorado,11.4
2005,4.8,Connecticut,9.3
2005,4.508333333,Delaware,9.2
2005,6.991666667,District of Columbia,21.3
2005,2.875,Florida,11.1
2005,5.691666667,Georgia,14.4
2005,2.825,Hawaii,8.6
2005,5.716666667,Illinois,11.5
2005,5.391666667,Indiana,12.6
2005,5.066666667,Kansas,12.5
2005,5.875,Kentucky,14.8
2005,7.058333333,Louisiana,18.3
2005,4.5,Maryland,9.7
2005,4.8,Massachusetts,10.1
2005,6.8,Michigan,12
2005,4.1,Minnesota,8.1
2005,5.4,Missouri,11.6
2005,3.8,Nebraska,9.5
2005,4.1,Nevada,10.6
2005,4.441666667,NewJersey,6.8
2005,4.441666667,NewMexico,17.9
2005,4.441666667,NewYork,14.5
2005,4.441666667,NorthCarolina,13.1
2005,4.441666667,NorthDakota,11.2
2005,4.441666667,Ohio,12.3
2005,4.441666667,Oklahoma,15.6
2005,4.441666667,Oregon,12
2005,4.441666667,Pennsylvania,11.2
2005,4.441666667,PuertoRico,
2005,5.525,TENNESSE,14.9
2005,5.458333333,TEXAS,16.2
2005,4.041666667,UTAH,9.2
2005,3.825,VIRGINIA,9.2
2005,5.591666667,WASHINGTON,10.2
2005,4.741666667,WISCONSIN,10.2
2006,4,Alabama,14.3
2006,6.633333333,Alaska,8.9
2006,4.308333333,Arizona,14.4
2006,5.25,Arkansas,17.7
2006,4.916666667,California,12.2
2006,4.275,Colorado,9.7
2006,4.425,Connecticut,8
2006,3.908333333,Delaware,9.3
2006,6.325,District of Columbia,18.3
2006,2.466666667,Florida,11.5
2006,5.075,Georgia,12.6
2006,2.55,Hawaii,9.2
2006,4.6,Illinois,10.6
2006,5,Indiana,10.6
2006,4.425,Kansas,12.8
2006,5.725,Kentucky,16.8
2006,4.133333333,Louisiana,17
2006,4.2,Maryland,8.4
2006,4.7,Massachusetts,12
2006,7,Michigan,13.3
2006,4.1,Minnesota,8.2
2006,4.9,Missouri,11.4
2006,3,Nebraska,10.2
2006,4.1,Nevada,9.5
2006,4.616666667,NewJersey,8.8
2006,4.616666667,NewMexico,16.9
2006,4.616666667,NewYork,14
2006,4.616666667,NorthCarolina,13.8
2006,4.616666667,NorthDakota,11.4
2006,4.616666667,Ohio,12.1
2006,4.616666667,Oklahoma,15.2
2006,4.616666667,Oregon,11.8
2006,4.616666667,Pennsylvania,11.3
2006,4.616666667,PuertoRico,
2006,5.275,TENNESSE,14.9
2006,5,TEXAS,16.4
2006,2.866666667,UTAH,9.3
2006,3.341666667,VIRGINIA,8.6
2006,5,WASHINGTON,8
2006,4.675,WISCONSIN,10.1
2007,4.041666667,Alabama,14.5
2007,6.258333333,Alaska,7.6
2007,3.75,Arizona,14.3
2007,5.391666667,Arkansas,13.8
2007,5.308333333,California,12.7
2007,3.7,Colorado,9.8
2007,4.45,Connecticut,8.9
2007,3.608333333,Delaware,9.3
2007,5.95,District of Columbia,18
2007,3.3,Florida,12.5
2007,4.916666667,Georgia,13.6
2007,2.725,Hawaii,7.5
2007,5.066666667,Illinois,10
2007,4.625,Indiana,11.8
2007,4.233333333,Kansas,11.7
2007,5.366666667,Kentucky,15.5
2007,4.091666667,Louisiana,16.1
2007,3.7,Maryland,8.8
2007,4.5,Massachusetts,11.2
2007,7.1,Michigan,10.8
2007,4.6,Minnesota,9.3
2007,5.1,Missouri,12.8
2007,2.9,Nebraska,9.9
2007,4.6,Nevada,9.7
2007,4.208333333,NewJersey,8.7
2007,4.208333333,NewMexico,14
2007,4.208333333,NewYork,14.5
2007,4.208333333,NorthCarolina,15.5
2007,4.208333333,NorthDakota,9.3
2007,4.208333333,Ohio,12.8
2007,4.208333333,Oklahoma,13.4
2007,4.208333333,Oregon,12.8
2007,4.208333333,Pennsylvania,10.4
2007,4.208333333,PuertoRico,
2007,4.633333333,TENNESSE,14.8
2007,4.366666667,TEXAS,16.5
2007,2.558333333,UTAH,9.6
2007,3.283333333,VIRGINIA,8.6
2007,4.6,WASHINGTON,10.2
2007,4.825,WISCONSIN,11
2008,5.883333333,Alabama,14.3
2008,6.475,Alaska,8.2
2008,5.791666667,Arizona,18
2008,5.441666667,Arkansas,15.3
2008,7.3,California,14.6
2008,4.875,Colorado,11
2008,5.65,Connecticut,8.1
2008,5.033333333,Delaware,9.6
2008,6.85,District of Columbia,16.5
2008,5.691666667,Florida,13.1
2008,6.783333333,Georgia,15.5
2008,4.033333333,Hawaii,9.9
2008,6.508333333,Illinois,12.3
2008,5.941666667,Indiana,14.3
2008,4.608333333,Kansas,12.7
2008,6.525,Kentucky,17.1
2008,4.666666667,Louisiana,18.2
2008,4.5,Maryland,8.7
2008,5.3,Massachusetts,11.3
2008,8.2,Michigan,13
2008,5.4,Minnesota,9.9
2008,6.2,Missouri,13.3
2008,3.3,Nebraska,10.6
2008,6.9,Nevada,10.8
2008,5.45,NewJersey,9.2
2008,5.45,NewMexico,19.3
2008,5.45,NewYork,14.2
2008,5.45,NorthCarolina,13.9
2008,5.45,NorthDakota,11.8
2008,5.45,Ohio,13.7
2008,5.45,Oklahoma,13.6
2008,5.45,Oregon,10.6
2008,5.45,Pennsylvania,11
2008,5.45,PuertoRico,
2008,6.516666667,TENNESSE,15
2008,4.866666667,TEXAS,15.9
2008,3.341666667,UTAH,7.6
2008,4.275,VIRGINIA,10.3
2008,5.291666667,WASHINGTON,10.4
2008,4.983333333,WISCONSIN,9.8
2009,10.08333333,Alabama,16.6
2009,7.983333333,Alaska,11.7
2009,9.666666667,Arizona,21.2
2009,7.725,Arkansas,18.9
2009,11.54166667,California,15.3
2009,7.875,Colorado,12.3
2009,8.325,Connecticut,8.4
2009,8.341666667,Delaware,12.3
2009,10,District of Columbia,17.9
2009,9.558333333,Florida,14.6
2009,10.425,Georgia,18.4
2009,6.658333333,Hawaii,12.5
2009,10.18333333,Illinois,13.2
2009,10.43333333,Indiana,16.1
2009,6.891666667,Kansas,13.7
2009,10.76666667,Kentucky,17
2009,6.791666667,Louisiana,14.3
2009,7.6,Maryland,9.6
2009,8.1,Massachusetts,10.8
2009,13.1,Michigan,14
2009,7.9,Minnesota,11.1
2009,9,Missouri,15.5
2009,4.7,Nebraska,9.9
2009,11.7,Nevada,13
2009,8.933333333,NewJersey,9.3
2009,8.933333333,NewMexico,19.3
2009,8.933333333,NewYork,15.8
2009,8.933333333,NorthCarolina,16.9
2009,8.933333333,NorthDakota,10.9
2009,8.933333333,Ohio,13.3
2009,8.933333333,Oklahoma,12.9
2009,8.933333333,Oregon,13.4
